.1ord,ord_regex,.1definition,.1subgrupp,huvudgrupp
asp.net webapi,,asp.net,asp.net,
aspdotnet,,asp.net,asp.net,
assa arx,,,,
assembler,,assembly,assembly,
assembly,,assembly,assembly,
async,,async,async,
ati vision,,,,
atlassian jira,,jira,jira,
atm,,,,
atp,,,,
atrium,,,,
ats,,,,
attestering,,,,
augeas,,,,
augmented reality,,augmented reality,augmented reality,
aurelia,,aurelia,aurelia,
autentisering,,autentisering,autentisering,
autentiseringslösningar,,autentisering,autentisering,
autentiseringssystem,,autentisering,autentisering,
autocad,,autocad,cad,
autocad civil 3d,,autocad civil 3d,cad,
autodesk inventor,,autodesk inventor,cad,
autodesk revit,,audodesk revit,cad,
autofac,,autofac,cad,
autoit,,,,
automated test,,automationstestning,testning,
automation,,automation,automation,
automationsarbete,,automation,automation,
automationsinriktning,,automation,automation,
automationslösningar,,automation,automation,
automationsområdet,,automation,automation,
automationsprojekt,,automation,automation,
automationsramverk,,automation,automation,
automationssystem,,automation,automation,
automationsteknik,,automation,automation,
automationstestning,,automationstestning,testning,
automationsutrustning,,automation,automation,
automatiserade tester,,automatiserade tester,testning,
automatiserade testfall,,automatiserade tester,testning,
automatisering,,automation,automation,
automatiseringsverktyg,,automation,automation,
automatiska tester,,automatiserade tester,testning,
automattester,,automatiserade tester,testning,
autosar,,,,
autotestning,,automatiserade tester,testning,
av-installation,,antivirus,antivirus,
av-produkter,,antivirus,antivirus,
av-teknik,,antivirus,antivirus,
av-utrustning,,antivirus,antivirus,
avaya,,,,
aveva,,,,
avhs__plattform,,,,
avhs__plattformen,,,,
avhs__produkt,,,,
avionik,,,,
awk,,awk,awk,
aws ec2,,amazon web services ec2,amazon web services,
ax__applikationen,,microsoft dynamics ax,microsoft dynamics ax,
ax__installationer,,microsoft dynamics ax,microsoft dynamics ax,
ax__konsult,,microsoft dynamics ax,microsoft dynamics ax,
ax__miljön,,microsoft dynamics ax,microsoft dynamics ax,
axis__motion__guard,,,,
axis__produkter,,,,
axis_video_hosting_system,,,,
azure,,azure,azure,
azure_ad_connect,,azure active directory connect,azure,
babel,,babel,babel,
babylon.js,,babylon.js,javascript,
back end,,back end,back end,
backbone,,backbone.js,javascript,
backbone.js,,backbone.js,javascript,
backend applikationer,,back end,back end,
backendlösningar,,back end,back end,
backends,,back end,back end,
backendsystem,,back end,back end,
backendtjänster,,back end,back end,
backup,,backup,backup,
backuphantering,,backup,backup,
backuplösningar,,backup,backup,
backupprogramvaror,,backup,backup,
backupsystem,,backup,backup,
bacnet,,,,
balsamiq,,,,
balsamiq mockups,,,,
bamboo,,,,
bapis,,mysap,mysap,
bar,,,,
barium,,,,
baseband,,,,
bash,,bash,bash,
bash script,,bash,bash,
basic,,basic,basic,
basprogram,,,,
bastjänster,,,,
batch,,batch,batch,
batch script,,batch,batch,
batchfile,,batch,batch,
batchkörningar,,batch,batch,
bcp,,,,
bdd,,,,
beanstalk,,,,
bearbetningssystem,,,,
begreppsmodellering,,,,
behovsanalys,,,,
behovsbedömning,,,,
behovsfångst,,,,
behovshantering,,,,
behovsinsamling,,,,
behovskartläggning,,,,
behörighetsadministration,,,,
behörighetshantering,,,,
behörighetskontrollsystem,,,,
behörighetslösningar,,,,
behörighetsområdet,,,,
behörighetsstyrning,,,,
behörighetssystem,,,,
behörighetstilldelning,,,,
benchmarking,,,,
beräkningsmetoder,,,,
beräkningssystem,,,,
beräkningsunderlag,,,,
beräkningsvetenskap,,,,
besched,,,,
betalkortslösningar,,,,
betallösningar,,,,
betalningsapplikationer,,,,
betalningshantering,,,,
betalningslösningar,,,,
betalsystem,,,,
betaltjänster,,,,
bevakningssystem,,,,
bgp,,,,
bi,,business intelligence,business intelligence,
bi-lösning,,business intelligence,business intelligence,
bi-området,,business intelligence,business intelligence,
bi-verktyg,,business intelligence,business intelligence,
big data,,big data,big data,
bigip,,,,
bildanalys,,bildanalys,bildanalys,
bildbankshantering,,,,
bildbearbetning,,bildbearbetning,bildbearbetning,
bildbehandling,,bildbearbetning,bildbearbetning,
bildbehandlingsområdet,,bildbearbetning,bildbearbetning,
bildbehandlingsverktyg,,bildbearbetning,bildbearbetning,
bildhantering,,bildbearbetning,bildbearbetning,
bildredigering,,bildbearbetning,bildbearbetning,
bildredigeringsprogram,,bildbearbetning,bildbearbetning,
bildredigeringsverktyg,,bildbearbetning,bildbearbetning,
bildsensor,,,,
bildteknik,,,,
bim-projektering,,,,
bim-system,,,,
bind,,,,
bioinformatik,,,,
bioteknik,,,,
biovetenskap,,,,
bis,,,,
bison,,,,
bitbake,,,,
bitbucket,,bitbucket,bitbucket,
bitlocker,,,,
biztalk,,,,
blender,,blender,3d,
blitzbasic,,,,
blockskit,,,,
bluemix,,,,
bluespec,,,,
bluetooth,,bluetooth,bluetooth,
bootstrap,,bootstrap,css,
bpel,,,,
bpm,,,,
bpmn,,,,
brainfuck,,brainfuck,brainfuck,
brandvägg,,brandväggar,brandväggar,
brandväggar,,brandväggar,brandväggar,
brandväggshantering,,brandväggar,brandväggar,
brandväggskonfiguration,,brandväggar,brandväggar,
brandväggskonfigurering,,brandväggar,brandväggar,
brandväggslösningar,,brandväggar,brandväggar,
brandväggsprodukter,,brandväggar,brandväggar,
brandväggssystem,,brandväggar,brandväggar,
brandväggsteknik,,brandväggar,brandväggar,
bredband,,bredband,bredband,
bredbandsföretag,,bredband,bredband,
bredbandsnät,,bredband,bredband,
brightscript,,,,
brm,,,,
brocade,,,,
brocade san,,,,
browserstack,,,,
bsd,,bsd,bsd,
bug tracking,,felhantering,felhantering,
buggfixning,,felhantering,felhantering,
buggrättning,,felhantering,felhantering,
business intelligence,,,,
bw,,,,
byggnadsautomation,,,,
byggnationer,,,,
byggplatsuppföljning,,,,
byggprocessen,,,,
byggramverk,,,,
byggscript,,,,
byggservrar,,,,
byggstöd,,,,
byggsystem,,,,
byggteknik,,,,
byggverksamhet,,,,
byggverktyg,,,,
c,,c,c,
c plusplus programmerare,,c++,c++,
c plusplus utvecklare,,c++,c++,
c plusplus utvecklare,,c++,c++,
c plusplus utvecklare,,c++,c++,
c plusplusoch,,c++,c++,
c__programmer,,c,c,
c__programmering,,c,c,
c__programming,,c,c,
c__sharp,,c#,c#,
c__utvecklare,,c,c,
c__utveckling,,c,c,
c_plusplus,,c++,c++,
c-programmering,,c,c,
c#,,c#,c#,
c#.net,,.net,.net,
c++,,c++,c++,
caching,,caching,caching,
cacti,,Övrigt,Övrigt,
cad,,cad,cad,
cad__program,,cad,cad,
cad-arbete,,cad,cad,
cad-program,,cad,cad,
cad-samordning,,cad,cad,
cad-system,,cad,cad,
cad-verktyg,,cad,cad,
cadence,,,,
cadritning,,cad,cad,
calypso,,,,
cam,,,,
camel,,,,
camtasia,,,,
can,,,,
canalyzer,,,,
canape,,,,
canoe,,,,
canopen,,,,
canvas,,canvas,canvas,
capl,,,,
carmenta,,,,
carrier ethernet,,,,
cartocss,,cartocss,css,
cascading style,,css,css,
cash management,,cashing,cashing,
cassandra,,cassandra,nosql,
casting,,,,
catia,,,,
catia v5,,,,
ccdp,,,,
ccie,,,,
ccna,,,,
ccna certifiering,,,,
ccnp,,,,
ccnp routing,,,,
ccnp-certifiering,,,,
ccsa,,,,
ccse,,,,
cctv-system,,,,
cdc,,,,
cdi,,,,
cdp,,,,
cdrator,,,,
celery,,,,
centos,,,,
certifieringar,,,,
certifieringsprogram,,,,
certifikat,,,,
certifikathantering,,,,
certifikatsadministration,,,,
ceylon,,,,
cf__engine,,,,
cfengine,,,,
change management,,,,
changehantering,,,,
chapel,,,,
check point,,,,
checklists,,,,
ci,,ci,ci,
ci/cd,,ci/cd,ci/cd,
cics,,,,
cisa,,,,
cisco,,,cisco,
cisco asa,,,cisco,
cisco certified,,,cisco,
cisco certified design associate,,,cisco,
cisco certifiering,,,cisco,
cisco cucm,,,cisco,
cisco ios,,,cisco,
cisco nexus,,,cisco,
cisco routers,,,cisco,
cisco switchar,,,cisco,
ciscomiljöer,,,cisco,
ciscoprodukter,,,cisco,
ciscos,,,cisco,
cism,,,,
cissp,,,cisco,
citect,,,,
citrix,,citrix,citrix,
citrix server,,citrix server,citrix,
citrixsystem,,citrix,citrix,
classic asp,,asp.net,asp.net,
clean,,,,
clearance,,,,
clearing,,,,
cli,,cli,cli,
click,,,,
clojure,,clojure,clojure,
cloud,,cloud,cloud,
cloud computing,,cloud,cloud,
cloudformation,,cloud,cloud,
cloudfront,,,,
cloudhosting,,cloud,cloud,
cloudlösningar,,cloud,cloud,
cloudteknik,,cloud,cloud,
cloudtjänster,,cloud,cloud,
clr_integration,,,,
cls,,,,
clustering,,,,
cm-hantering,,,,
cmake,,cmake,cmake,
cms,,content management system,content management system,
cms__system,,content management system,content management system,
cms__verktyg,,content management system,content management system,
cms-lösningar,,content management system,content management system,
cms-verktyg,,content management system,content management system,
cna,,,,
cnc,,,,
cnc-maskiner,,,,
cni,,,,
cns,,,,
cobit,,,,
cobol,,,,
cocoa,,,,
code review,,code review,workflow,
codecs,,,,
codedui,,,,
codeigniter,,,,
codesys,,,,
coffeescript,,coffeescript,javascript,
cognos,,,,
cognos tm1,,,,
coldfusion,,,,
common criteria,,,,
common lisp,,,,
common workflow language,,,,
commvault,,,,
compact framework,,,,
compilers,,,,
component pascal,,,,
composer,,,,
comtest,,,,
concurrent programming,,,,
confidence intervals,,,,
configuration management,,,,
configuring,,,,
confluence,,,,
connectivity,,,,
container,,containers,containers,
containerbaserade,,containers,containers,
containerhantering,,containers,containers,
containeriseringsplattformar,,containers,containers,
containerization,,containers,containers,
containerized,,containers,containers,
containers,,containers,containers,
containrar,,containers,containers,
content management,,content management system,content management system,
continuous delivery,,cd,cd,
continuous integration,,ci,ci,
controllerarbete,,,,
copywriting,,copywriting,copywriting,
coq,,,,
cordova,,,,
core network,,,,
coreldraw,,,,
corenät,,,,
cosmic,,,,
couchbase,,,,
country,,,,
cover,,,,
coverity,,,,
cpk,,,,
cpld,,,,
cpu,,,,
cpus,,,,
creo,,,,
crm,,,,
crm__system,,,,
crm-program,,,,
crm-system,,,,
crm-verktyg,,,,
crystal,,crystal,crystal,
csa,,,,
csharp,,c#,c#,
csharp,,c#,c#,
csharp__programmering,,c#,c#,
csharp__utvecklare,,c#,c#,
csharp__utveckling,,c#,c#,
csharpdotnet,,.net,.net,
csharpsharp,,c#,c#,
css,,css,css,
css__ramverk,,css framework,css,
css__ramverket,,css framework,css,
css-ramverk,,css framework,css,
css3,,css,css,
csslp,,css,css,
csv,,csv,csv,
cti,,,,
cucumber,,,,
cuda,,,,
custody,,,,
customizing,,,,
cvi,,,,
cvs,,,,
cybersäkerhet,,it-säkerhet,it-säkerhet,
cybersäkerhetsområdet,,it-säkerhet,it-säkerhet,
cygwin,,cygwin,cygwin,
cytostatika,,,,
d3,,d3.js,javascript,
d3.js,,d3.js,javascript,
dac,,,,
danska,,,,
dapper,,,,
dart,,dart,dart,
darwin,,,,
data guard,,data guard,data guard,
data mining,,data mining,data mining,
data warehouse,,data warehouse,data warehouse,
data warehousing,,data warehouse,data warehouse,
data-mining,,data mining,data mining,
dataanalys,,dataanalys,dataanalys,
dataarkitektur,,dataarkitektur,dataarkitektur,
databas,,databas,databas,
databasadministration,,databasadministration,administration,
databasarkitektur,,databasarkitektur,databas,
databasdesign,,databasdesign,databas,
databasdrift,,databasdrift,databas,
databaser,,databas,databas,
databasfrågor,,databas,databas,
databasförvaltning,,databas,databas,
databashantering,,databasdrift,databas,
databaskonfiguration,,databasdrift,databas,
databaskopplingar,,databasdrift,databas,
databaslösningar,,databas,databas,
