[\s_-](activemq\|actuator\|ada\|adas\|adato\|adc\|adcs\|adform\|adfs\|\|\|\|\|alcatel\|alfresco\|\|alloy\|ampl\|amplifiers\|amq\|amqp\|annex\|ant\|antisense\|apl\|apn\|apo\|appdynamics\|appfabric\|appian\|appium\|applescript\|appliance\|arbortext\|arc\|arcgis\|arcgis\ desktop\|arcgis\ server\|archimate\|arcmap\|ars\|articulate\ storyline\|artifactory\|as2\|as400\|ascendo\|asfalt\|asic\|assa\ arx\|ati\ vision\|atm\|atp\|atrium\|ats\|attestering\|augeas\|autoit\|autosar\|avaya\|aveva\|avhs__plattform\|avhs__plattformen\|avhs__produkt\|avionik\|axis__motion__guard\|axis__produkter\|axis_video_hosting_system\|bacnet\|balsamiq\|balsamiq\ mockups\|bamboo\|bar\|barium\|baseband\|basprogram\|bastjänster\|bcp\|bdd\|beanstalk\|bearbetningssystem\|begreppsmodellering\|behovsanalys\|behovsbedömning\|behovsfångst\|behovshantering\|behovsinsamling\|behovskartläggning\|behörighetsadministration\|behörighetshantering\|behörighetskontrollsystem\|behörighetslösningar\|behörighetsområdet\|behörighetsstyrning\|behörighetssystem\|behörighetstilldelning\|benchmarking\|beräkningsmetoder\|beräkningssystem\|beräkningsunderlag\|beräkningsvetenskap\|besched\|betalkortslösningar\|betallösningar\|betalningsapplikationer\|betalningshantering\|betalningslösningar\|betalsystem\|betaltjänster\|bevakningssystem\|bgp\|bigip\|bildbankshantering\|bildsensor\|bildteknik\|bim\-projektering\|bim\-system\|bind\|bioinformatik\|bioteknik\|biovetenskap\|bis\|bison\|bitbake\|bitlocker\|biztalk\|blitzbasic\|blockskit\|bluemix\|bluespec\|bpel\|bpm\|bpmn\|brightscript\|brm\|brocade\|brocade\ san\|browserstack\|business\ intelligence\|bw\|byggnadsautomation\|byggnationer\|byggplatsuppföljning\|byggprocessen\|byggramverk\|byggscript\|byggservrar\|byggstöd\|byggsystem\|byggteknik\|byggverksamhet\|byggverktyg\|cadence\|calypso\|cam\|camel\|camtasia\|can\|canalyzer\|canape\|canoe\|canopen\|capl\|carmenta\|carrier\ ethernet\|casting\|catia\|catia\ v5\|ccdp\|ccie\|ccna\|ccna\ certifiering\|ccnp\|ccnp\ routing\|ccnp\-certifiering\|ccsa\|ccse\|cctv\-system\|cdc\|cdi\|cdp\|cdrator\|celery\|centos\|certifieringar\|certifieringsprogram\|certifikat\|certifikathantering\|certifikatsadministration\|ceylon\|cf__engine\|cfengine\|change\ management\|changehantering\|chapel\|check\ point\|checklists\|cics\|cisa\|cisco\|cisco\ asa\|cisco\ certified\|cisco\ certified\ design\ associate\|cisco\ certifiering\|cisco\ cucm\|cisco\ ios\|cisco\ nexus\|cisco\ routers\|cisco\ switchar\|ciscomiljöer\|ciscoprodukter\|ciscos\|cism\|cissp\|citect\|clean\|clearance\|clearing\|click\|cloudfront\|clr_integration\|cls\|clustering\|cm\-hantering\|cna\|cnc\|cnc\-maskiner\|cni\|cns\|cobit\|cobol\|cocoa\|codecs\|codedui\|codeigniter\|codesys\|cognos\|cognos\ tm1\|coldfusion\|common\ criteria\|common\ lisp\|common\ workflow\ language\|commvault\|compact\ framework\|compilers\|component\ pascal\|composer\|comtest\|concurrent\ programming\|confidence\ intervals\|configuration\ management\|configuring\|confluence\|connectivity\|controllerarbete\|coq\|cordova\|core\ network\|coreldraw\|corenät\|cosmic\|couchbase\|country\|cover\|coverity\|cpk\|cpld\|cpu\|cpus\|creo\|crm\|crm__system\|crm\-program\|crm\-system\|crm\-verktyg\|csa\|cti\|cucumber\|cuda\|custody\|customizing\|cvi\|cvs\|cytostatika\|dac\|danska\|dapper\|darwin\|datalogi\|datamaterial\|datamigrering\|datamodellering\|dataskydd\|dataskyddsarbete\|dataskyddsfrågor\|dataskyddslagstiftning\|dataspelsföretag\|datastruktur\|datasystem\|datateknik\|datateknisk\ utbildning\|datatjänster\|datautbildning\|datautrustning\|datauttag\|datautvinning\|datavalidering\|datavana\|datavetenskap\|datavetenskaplig\ utbildning\|datavisualisering\|dataöverföring\|datomic\|datorarkitektur\|datordrift\|datorgrafik\|datorhårdvara\|datorkommunikation\|datorkunskaper\|datorlingvistik\|datornätverk\|datorprogram\|datorseende\|datorsystem\|db2\|dbd\|dbms\|dchp\|dcpu\-16\ asm\|dcs\-system\|ddd\|debug\|debugger\|debuggers\|decoder\|dect\-telefoner\|defekter\|definiering\|delansvar\|delegering\|deletion\|delmia\|delmontage\|delning\|delphi\|demomiljöer\|derivat\|detektion\|device\ drivers\|dfa\|dft\|digital\ bildbehandling\|digital\ command\ language\|digital\ design\|digital\ marknadsföring\|digital\ signage\|digitaliseringsarbete\|digitaliseringsfrågor\|digitaliseringsområdet\|digitaliseringsprocess\|digitaliseringsprojekt\|digitaliseringstjänster\|digitaliseringsutvecklingsprojekt\|digitalkommunikation\|digitalteknik\|diktering\|dimensionering\|dimensionsmodellering\|directx\|displaysystem\|dissemination\|distansundervisning\|disti\|distribuerade\ system\|distributed\ computing\|distribution\|distributionssystem\|distributionsverktyg\|dita\|dl1\|dm\|docato\|docbook\|doe\|dojo\|dos\|dot\|dovecot\|dpcom\|dpdk\|drawing\|drm\|dropwizard\|drupal\|dsc\|dsl\|dsp\|dspace\|dtrace\|duc\|ductus\|dw\|dwdm\|dxc\|dylan\|dynamics\|dynamics\ crm\|dynamics_ax\|dynamics_nav\|dynamodb\|dynatrace\|eagle\|easymock\|ebr\|ec2\|ecc\|ecm\|ecompanion\|ecu\|edi\|edifact\|edirectory\|editing\|edp_future\|edp_mobile\|eeg\|efecte\|eiffel\|ejb\|ejb3\|ejb3\ jboss\|ekg\|electromagnetic\ compatibility\|element\|emacs\ lisp\|emarketeer\|ember\|emberscript\|emc\|emd\|emulation\|emulator\|emulatorer\|emulators\|endorsement\|endpoint\|eng\|engelska\|enhetshantering\|enovia\|entity\ framework\|epics\|epics__based\|epidemiologi\|episerver\|eplan\ p8\|eplan_p8\|epm\|erp\|erp\ systems\|erp\-lösningar\|erp\-system\|esb\|espa\|esperanto\|espresso\|estetik\|estimering\|esx\|esxi\|etcs\|ethercat\|ethiris\|etl\|etl\-verktyg\|etsi\|exadata\|exchange\ server\|extjs\|extraktion\|f5\|factor\|failover\ clustering\|fancy\|far\|fastest\|fat\|fenix\|fi\|flatpacks\|flexray\|flinto\|flume\|flux\|fme\|fme__certifierade\|fme__experter\|fme__licenser\|fmea\|fmeca\|forefront\|formatkonvertering\|formatutveckling\|forth\|fortran\|fpga\|freemarker\|freertos\|frege\|frekvensanalys\|fta\|fuse\|fw\|gamp\|gan\|gap\|gapanalys\|garp\|gasanalys\|gateway\|gateways\|gcc\ machine\ description\|gdb\|generis\|genesys\|genivi\|genshi\|geodata\|geodesi\|geometri\|geoteknik\|gerrit\|gettext\ catalog\|gherkin\|giac\|gis\|gis__program\|gis__programvaror\|gis\-arbete\|gis\-frågor\|gis\-system\|glassfish\|glp\|glsl\|gmp\|gmu\|gnuplot\|gobject\|gof\|goldengate\|golf\|goop\|gosu\|gpfs\|gradle\|grafana\|grafteori\|grails\|graph\|graphite\|graphql\|graphwalker\|grep\|grid\|groff\|groovy\|gsharp\|gsm\|gstreamer\|gts\|gwt\|gxp\|h_264\|h_265\|hadoop\|haproxy\|haxe\|hbase\|hci\|hcl\|hdfs\|help\ desk\|heroma\|hfss\|hi\-fi\|hibernate\|hil\|hindi\|hive\|hl7\|hla\|hls\|hlsl\|hmi\|hmtl\|hogia\|hrm\-system\|hsl\|htlm\|htmal\|hubspot\|hudson\|hvac\-system\|hw\-utveckling\|hy\|hydraulik\|hyperion\|hypervisor\|hypervisors\|i\.net\|i2\|i2c\|iaas\|iam\|iar\ embedded\|iar\ workbench\|ibase\|ibm\ bpm\|ibm\ integration\ bus\|ibm\ mainframe\|ibm\ mq\|ibm\ tivoli\|ibm\ websphere\|icinga\|icp\|ics\|idesk\|idl\|idm\|idm__gruppering\|idm__området\|idriftsättning\|idrifttagning\|idris\|ids\|iec61508\|ifacts\|ifix\|ifs\|ifs\ applications\|iga\|igor\ pro\|iipax\|iis\|ikt\|ikt\-frågor\|ilcms\|ils\|image\ processing\|imageready\|imi\ supply\ chain\|impa\|impala\|ims\|inca\|incidenthantering\|incidentstatistik\|incidentutredningar\|incitamentsprogram\|industriautomation\|industriella\ styrsystem\|infoblox\|inform\ 7\|informatica\|informatica\ powercenter\|informix\|infotainmentsystem\|ingres\|inno\ setup\|integration\|integrationsramverk\|integritetsskydd\|intellij\|intellij\ idea\|interface\|internetmarknadsföring\|interoperabilitet\|intervention\|inventor\|inversion\|invision\|io\|ioc\|ioc__ramverk\|ipma\|iprint\|ir\|irm\|ironport\|isabelle\|iscsi\|iseb\|iseries\|ismp\|istqb\|istqb\ certifiering\|istqb\ foundation\|itil\|itil\ foundation\|itp\|its\|j2\|jaas\|jakarta\ ee\|jakt\|jautomate\|jax__rs\|jax__ws\|jax\-rs\|jaxb\|jbehave\|jboss\|Jboss_Fuse\|jca\|jcat\|jcl\|jdbc\|jee\|jeeves\|jeeves__världen\|jenkins\|jetty\|jmeter\|jms\|jmx\|joomla\|jpa\|jquery\|jsf\|jsp\|jstl\|jtag\|julia\|juniper\|junit\|junos\|jvm\|kanalisation\|kanzi\|kaseya\|kassanova\|kassasystem\|katalys\|kemp\|kendo\ ui\|keras\|kernel\|kibana\|kicad\|kicad\ layout\|kimball\|kinesis\|kml\|krl\|ksh\|kub\|l2tp\|lamp\|lan\|lan\-tjänster\|landesk\|lasso\|latex\|lauterbach\|lca\|lcc\|ldap\|leaflet\|leanft\|leasing\|lex\|libraries\|libraries\ like\|lidar\|liferay\|lightbend\|lilypond\|limbo\|lin\|linearization\|lingvistik\|linq\|liquibase\|liquid\|livelink\|livescript\|llrf\|llvm\|logix\|logos\|logtalk\|lonworks\|lookml\|loomscript\|lou\|lsl\|lsmw\|lss\|lte\|lustre\|luta\|lxc\|m4\|ma\|maconomy\|madcap\ flare\|magenta\|magento\|magicad\|magneto\|maintenix\|mako\|managering\|manageringsplattformar\|manageringssystem\|mandarin\|mantis\|mapforce\|mapinfo\|mappningar\|maskinteknik\|masspektrometri\|masterdata\|masterdataförvaltning\|masterdatahantering\|mastintyg\|matematisk\ modellering\|matematisk\ statistik\|mathematica\|matrisorganisation\|matrix\|maven\|max\|maximo\|maxscript\|mbse\|mcafee\|mcsa\|mcts\|mcu\|mcv\|mdi\|mdm\|mdt\|mediawiki\|medspeech\|melior\|memcached\|memory\ management\|meraki\|mercur\|mercurial\|mercury\|meridian\|mes__system\|mesh\|meson\|message\ broker\|message\ brokers\|message\ queues\|message\ queuing\|messaging\|metadatahantering\|metadatastandarder\|metavision\|mfc\|mi\|microstation\|microwave\|mifare\|mios\|mips\|mirah\|misra\|mission\|mlir\|mobx\|mocha\|mock\|mockito\|mocknings__ramverk\|mod__bus\|modbus\|mode\|modelica\|modula\-2\|mom\|monitor\|monitoreringssystem\|monitoreringsverktyg\|monkey\|mono__tillämpningar\|montering\|monteringsutrustning\|moonscript\|moq\|moshell\|most\|motion\ capture\|movex\|mpi\|mplab\|mpls\|mpp\|mps\|mps\-system\|mql\|mql4\|mql5\|mqtt\|mri\|ms\|msmq\|msp\|mstest\|mtbf\|mule\|mulesoft\|multi\-core\|mvvm\|nac\|nagios\|nasl\|navision\|navisworks\|ncl\|nemerle\|neoload\|nesc\|netapp\|netbackup\|netbeans\|netconf\|netcool\|netflow\|netiq_identity_manager\|netlogo\|netscaler\|networking\|neuroteknik\|newrelic\|nextflow\|nfc\|nfs\|nftables\|nfv\|ngrx\|nhibernate\|nice\|nim\|nimrod\|nis\|nisch\|nix\|nlog\|nnm\|noc\|not\|notes\|novaschem\|novell_oes\|nservicebus\|nsis\|nsurlsession\|nsx\|ntp\|nuget\|nunit\|nx\|nx\-os\|nyckelhantering\|obd\|obiee\|objectstore\|obstetrix\|ocaml\|ocp\|ocra\|ocs\|octave\|octopus\ deploy\|Octopus_Deploy\|octopus_deploy\|oculus\|odbc\|oddgame\|odi\|offshore\|okulärkontroll\|olap\|olap\-kuber\|on\-line\|onsite\|ontologi\|onvif\|oo__languages\|ooa\|ooad\|ooc\|ood\|oop\|op5\|opc\|opencl\|openedge\ abl\|openembedded\|openjump\|openlayers\|openldap\|openscad\|openscenegraph\|openshift\|openstack\|openvms\|ops\|orchestration\|orchestrator\|orion\|oscilloskop\|ose\|osgi\|osix\|ospf\|osstmm\|outplacement\|owl\|oz\|p2p\|p4\|paas\|packet\ core\|pacom\|palett\|palette\|pan\|papyrus\|parametersättning\|pardot\|pascal\|patologi\|pawn\|pcb\|pcb\ design\|pcb\ layout\|pci\|pcl\|pcs\|pcs7\|pdm\|pdm\-system\|pdmlink\|pdms\|perception\|perforce\|perimeterskydd\|personec\|personec\ p\|pet\|pfsense\|pgp\|phdvirtual\|phonegap\|pic\|picolisp\|pike\|pim\-system\|ping\|pingis\|pipes\|pjässystem\|pki\|play\ framework\|playback\|plc\|plc\-system\|plm\|plm\-system\|pmbok\|pmi\|pmp\|polarion\|pollution\|pony\|portlets\|pos\|postscript\|pov\-ray\ sdl\|powerbuilder\|powercenter\|powercli\|powerpc\|powertrain\|powervm\|ppm\|pps\|ppt\|predictive\ analytics\|prediktering\|prediktion\|prediktiv\ analys\|presale\|primavera\|primefaces\|prince2\|printer\|prism\|pro\-engineer\|pro/engineer\|procurve\|profibus\|profiling\|profinet\|prognostisering\|programanalys\|programdistribution\|programmatic\|progress\ openedge\|prolog\|promoting\|proofing\|propeller\ spin\|proportional\|propulsion\|prospektering\|proteomikdata\|protocol\|protocol\ analyzers\|protocol\ buffer\|protocols\|protokollanalysatorer\|protokollskrivning\|protractor\|prtg\|psa\|ptc\|pubsub\|puppet\|pure\ data\|purebasic\|purescript\|pxe\|pyramid\|pyrolys\|q\|qa\|qc\|qemu\|qgis\|qmake\|qml\|qos\|qt\|quality\ center\|rac\|rackmontering\|ragel\ in\ ruby\ host\|rails\|railway\ signalling\|raindance\|raku\|raml\|ran\|rancid\|ranorex\|rapid\ prototyping\|rascal\|raster\|rational\ clearcase\|rational\ clearquest\|rational\ rhapsody\|razor\|rca\|rcm\|rdbms\|rdf\|rdp\|rds\|rebol\|receivers\|redshift\|reduktion\|redundans\|reläer\|remedy\|ren'py\|revit\|rf\|rfid\|rhapsody\|rhel\|rhino\|riak\|ring\|risk\ management\|riskanalys\|riskbedömningar\|riskhantering\|riskidentifiering\|riskkontroll\|rman\|rmi\|rna\|robocopy\|robotapplikationer\|robotframework\|robotik\|robotisering\|robotsystem\|robotteknik\|roff\|rollhantering\|rotorsaksanalyser\|rouge\|route53\|rpa__utvecklare\|rpc\|rpg\|rpm\|rs232\|rs485\|rspec\|rstudio\|rtos\|rtp\|rtsp\|runtime\|rup\|rvct\|sae\|safecom\|safecontrol\|saltstack\|samba\|samza\|sas\|satellitkommunikation\|scanner\|scenarioanalys\|scg\|scm\|scom\|scratch\|scsm\|sde\|sdh\|sdk\|sdks\|sdlc\|se\-tool\|sed\|segmentering\|sekvenseringsdata\|selinux\|sem\|semantik\|sensorfusion\|sensors\|sensorsystem\|sensorteknik\|sequencing\|seriell\ kommunikation\|servicedesk\|servlets\|settlement\|sfi\|sfti\|sftp\|shader\|shaderlab\|shaders\|shen\|shibboleth\|shielding\|show\|siebel\|siem\-system\|siemens\ pcs7\|siemens\ plc\|siemens\ s7\|siffror\|signal\ processing\|sigtran\|silver\|simd\|simulation\|simulators\|simulatorverktyg\|simulering\|simuleringssystem\|simuleringsteknik\|simuleringsverktyg\|sip\|sir\|sitecore\|sitecore__partner\|sitecore__stjärnor\|sitecore__utvecklare\|sitecores\|sitecoreteknikens\|sitevision\|six\ sigma\|skadlig\ kod\|skeppning\|slash\|sles\|slurm\|smali\|smalltalk\|smart\|smarty\|smt\|snmp\|snomed\ ct\|snort\|snowdrop\|soa\|soap\|soapui\|softone\|software\ ag\ webmethods\|solaris\|solarplexus\|solid\ edge\|solidworks\|solman\|solr\|sonarqube\|sopho\|sops\|sortiment\|sortimentsplanering\|sortimentstyrning\|soti\ mobile\ control\|source\|source\ control\|sourcepawn\|sox\|spam\|spanning\ tree\|sparql\|sparx\|sparx\ ea\|spatiala\ databaser\|spc\|specflow\|special\ effects\|specman\|specning\|specter\|spedition\|speldesign\|spelmotor\|spice\|spring\ boot\|spring\ framework\|spring_boot\|spring\-mvc\|springboot\|sprinkler\|spss\|spv\|spyglass\|sqf\|squash\|squirrel\|srm\|ss\-en\|ssas\|sscp\|ssh\|ssis\|ssl\|ssrs\|stabstjänst\|starlark\|stash\|stata\|statistikframtagning\|statistikrapportering\|statistiksystem\|statistikunderlag\|statistikuppföljning\|statistikverksamhet\|statistikverktyg\|statistisk\ analys\|statistisk\ signalbehandling\|statistiska\ metoder\|sten\|stm32\|\|stored\ procedures\|storytelling\|strukturanalys\|strukturdynamik\|strukturera\ information\|strukturering\|strukturstöd\|struts\|struts2\|style\ guides\|styling\|subnets\|subsystem\|subversion\|supercollider\|supply\ chain\ management\|supportarbete\|suricata\|svn\|sw\-utveckling\|swig\|swing\|swinject\|switch\|switchade\ nät\|switchteknik\|sybase\|symantec\|symfony\|symfony3\|symphony\|synergy\|synkronisering\|sysadmin\|syslog\|sysml\|systemc\|systemverilog\|systemweaver\|t3000\|tableau\|takecare\|talend\|tcl\|tcl/tk\|tcms\|tcp\|tcp/ip\|tdd\|tdm\|teamarbete\|teamcenter\|teamcity\|teamledaransvar\|teamledning\|teamsamarbete\|teamutveckling\|teckentolkning\|teis\|tekla\|telekomteknik\|telematik\|telematiklösningar\|telenät\|telerik\|telesystem\|teleteknik\|telnet\|tens\|teradata\|terminering\|terraform\|tex\|textanalys\|textbearbetning\|texthantering\|textproduktion\|texturering\|tfs\|thinlinc\|thrift\|thymeleaf\|tia\|tibco\|tibco\ ems\|tillgänglighet\|tillgänglighetsanpassning\|tiv\|tls\|tm1\|tma__gui\|toad\|togaf\|tomcat\|tool\ suite\|tools\ like\|topologioptimering\|torch\|totalförsvarsplanering\|touchsystem\|tracing\|transaktioner\|transaktionshanterare\|transaktionshantering\|transaktionsintensiva\ system\|transaktionslösningar\|transaktionssystem\|tridion\|tsm\|tso\|tss\|ttcn\|ttcn\-3\|tuning\|twig\|twincat\|typo3\|uart\|\|uc\-lösningar\|uctool\|uft\|umbraco\|umts\|unicast\|urweb\|usability\|uwsgi\|vagrant\|vala\|valgrind\|validitet\|varnish\|vault\|vb6\|vba\|vba\-programmering\|vbdotnet\|vbs\|vbscript\|vcenter\|vcl\|vcloud\|vcloud\ director\|vdi\|vector\|veeam\|veeam_backup\|vektorbaserad\ grafik\|velocity\|verifiering\ av\ mjukvara\|verifieringsmetoder\|verifieringsverktyg\|verilog\|vhdl\|\|\|visionsystem\|visionteknik\|visual\ design\|visualforce\|visum\|vivado\|vklass\|vlan\|vlookup\|vmm\|vnext\|vod\|volte\|vowifi\|vplex\|vpls\|vrealize\|vrrp\|vsphere\|wai\|wan\|warehouse\-utveckling\|watchguard\|watson\|wcdma\|wcf\|wcs\|wdm\|web\ ontology\ language\|web\ services\|web\ standards\|web\ technologies\|webbanalys\|webbanalysverktyg\|webbannonser\|webbapplikationer\|webbarbete\|webbdesign\|webbeditering\|webbförsäljning\|webbförvaltning\|webbgränssnitt\|webbhandel\|webbkartor\|webbläsarkompatibilitet\|webblösningar\|webbmiljö\|webbområdet\|webbplatser\|webbprodukter\|webbproduktion\|webbprojekt\|webbprojektledning\|webbpublicering\|webbpubliceringsverktyg\|webbramverk\|webbserverhantering\|webbservices\|webbservrar\|webbshop\|webbsidor\|webbstatistik\|webbsystem\|webbteknik\|webbtjänster\|webbutbildning\|webbutveckling\|webdav\|webdriver\|webforms\|webgl\|weblogic\|weblogic\ server\|webmethods\|webpack\|webservice\|websphere\|websphere\ application\|websphere_liberty\|webstorm\|wfm\|wholesale\|widequick\|widgets\|wildfly\|windchill\|\|\|\|winforms\|winlas\|wireframing\|wireless\|wiring\|wlan\|wlc\|wls\|wmi\|wml\|wms\|wms\-lösningar\|wms\-system\|wonderware\|woocommerce\|workbench\|workshopledning\|ws\|wsdl\|wsus\|x_plusplus\|x\-ray\|x10\|xa800\|xacml\|xadcontainers\|xadnosql\|xadrtsp\|xadwebsockets\|xamarin\|xaml\|xbase\|xc\|xcp\|xe5\|xen\|xenapp\|xendesktop\|xenmobil\|xenmobile\|xenserver\|xilinx\|xojo\|xopus_xml_editor\|xproc\|xquery\|xs\|xsd\|xsl\|xslt\|xtend\|xtm_translation_tool\|xunit\|yacc\|yasnippet\|yocto\|zabbix\|zachman\|zbfw\|zbrush\|zend\|zend\ framework\|zenworks)[\.\s_-],,,
[\s_-](administering\|administration\|administrationssystem\|administrationsverktyg\|administrativ\ erfarenhet\|administrativa\ uppgifter\|administratörsuppgifter)[\.\s_-],administration,administration,
[\s_-](ado\.net)[\.\s_-],ado.net,.net,
[\s_-](adobe\ after\ effects)[\.\s_-],adobe after effects,adobe,
[\s_-](adobe\ analytics)[\.\s_-],adobe analytics,adobe,
[\s_-](adobe\ captivate)[\.\s_-],adobe captivate,adobe,
[\s_-](adobe\ creative)[\.\s_-],adobe creative,adobe,
[\s_-](adobe\ creative\ suite\|adobe\ cs\|adobe\ paketet\|adobe\ suiten\|adobe\-programmen\|adobeprodukter)[\.\s_-],adobe,adobe,
[\s_-](adobe\ fireworks)[\.\s_-],adobe fireworks,adobe,
[\s_-](adobe\ flash)[\.\s_-],adobe flash,adobe,
